,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long
33,6/21/2020 12:26,1.80036E+14,fraud_Nienow PLC,entertainment,210.36,Mackenzie,Salazar,F,982 Melissa Lock,Bagley,WI,53801,42.9207,-91.0685,878,Risk analyst,11/20/1974,902facfd912019350d63a3539990638e,1371817583,42.736666,-90.09971
34,6/21/2020 12:26,1.80065E+14,fraud_Lynch-Wisozk,home,52.81,Krystal,Gamble,F,47152 Clayton Burg,Manchester,MD,21102,39.6747,-76.8941,11751,Clinical research associate,2/15/1964,0ad27a9cf7fcb1e0774a86709cb248f1,1371817585,39.289186,-77.113659
1685,6/21/2020 22:06,3.56073E+15,fraud_Hamill-D'Amore,health_fitness,24.84,Brooke,Smith,F,63542 Luna Brook Apt. 012,Notrees,TX,79759,31.8599,-102.7413,23,Cytogeneticist,9/15/1969,16bf2e46c54369a8eab2214649506425,1371852399,32.575873,-102.60429
233,6/21/2020 13:32,3.43669E+14,"fraud_Torp, Muller and Borer",health_fitness,3.04,Sally,Moore,F,835 Reese Views Suite 884,Hopkins,SC,29061,33.9349,-80.8449,13717,Chiropodist,11/16/1949,c7a2ed635651e7e9a837257cac1df810,1371821550,34.303243,-80.187714
1767,6/21/2020 22:32,6.56446E+15,"fraud_Rodriguez, Yost and Jenkins",misc_net,780.52,Douglas,Willis,M,619 Jeremy Garden Apt. 681,Benton,WI,53803,42.5545,-90.3508,1306,Public relations officer,9/10/1958,ab4b379d2c0c9c667d46508d4e126d72,1371853942,42.461127,-91.147148
491,6/21/2020 15:02,4.86229E+12,fraud_Ankunding-Carroll,travel,4.36,Elizabeth,Payne,F,897 Daugherty Mission,Grassflat,PA,16839,41.0036,-78.1104,489,Pension scheme manager,9/15/1956,4a2301a36c1f4aa8878a470e18829e5f,1371826960,41.637348,-78.275198
492,6/21/2020 15:03,1.80085E+14,fraud_Marvin-Lind,personal_care,39.51,Holly,Mann,F,7644 Joseph Fields,Nokomis,IL,62075,39.3036,-89.2853,3458,Building surveyor,12/8/1985,08e42ee94e1a342d25fefb3a68e71729,1371826997,39.099211,-89.911079
493,6/21/2020 15:03,3.54757E+15,fraud_Waelchi-Wolf,kids_pets,14.63,Jacob,Patel,M,54822 Hill Forks,Dieterich,IL,62424,39.0319,-88.4074,2092,"Psychologist, clinical",4/30/1962,9bb46379a261a3f231a3bcf31f80d0f9,1371827011,39.878585,-87.710613
1857,6/21/2020 23:02,3.56073E+15,fraud_Hermann and Sons,shopping_pos,842.65,Brooke,Smith,F,63542 Luna Brook Apt. 012,Notrees,TX,79759,31.8599,-102.7413,23,Cytogeneticist,9/15/1969,f6838c01f5d2262006e6b71d33ba7c6d,1371855736,31.315782,-102.73639
1956,6/21/2020 23:35,4.00568E+15,"fraud_Reichert, Rowe and Mraz",shopping_net,931.82,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,5/31/1994,aff46f2741b3501d32b447f842618666,1371857727,30.761363,-91.7136
